Team,Region
Bayern Munich,Germany
Borussia Dortmund,Germany
RB Leipzig,Germany
Union Berlin,Germany
SC Freiburg,Germany
Bayer Leverkusen,Germany
Eintracht Frankfurt,Germany
VfL Wolfsburg,Germany
Mainz 05,Germany
Borussia Mönchengladbach,Germany
1. FC Köln,Germany
1899 Hoffenheim,Germany
Werder Bremen,Germany
VfL Bochum,Germany
FC Augsburg,Germany
VfB Stuttgart,Germany
Schalke 04,Germany
Hertha BSC,Germany
Manchester City,England
Arsenal,England
Manchester United,England
Newcastle United,England
Liverpool,England
Brighton & Hove Albion,England
Aston Villa,England
Tottenham Hotspur,England
Brentford,England
Fulham,England
Crystal Palace,England
Chelsea,England
Wolverhampton Wanderers,England
West Ham United,England
Bournemouth,England
Nottingham Forest,England
Everton,England
Leicester City,England
Leeds United,England
Southampton,England
Paris Saint-Germain,France
Lens,France
Marseille,France
Rennes,France
Lille,France
Monaco,France
Lyon,France
Clermont,France
Nice,France
Lorient,France
Reims,France
Montpellier,France
Toulouse,France
Brest,France
Strasbourg,France
Nantes,France
Auxerre,France
Ajaccio,France
Troyes,France
Angers,France
Napoli,Italy
Lazio,Italy
Inter Milan,Italy
Milan,Italy
Atalanta,Italy
Roma,Italy
Juventus,Italy
Fiorentina,Italy
Bologna,Italy
Torino,Italy
Monza,Italy
Udinese,Italy
Sassuolo,Italy
Empoli,Italy
Salernitana,Italy
Lecce,Italy
Spezia,Italy
Hellas Verona,Italy
Cremonese,Italy
Sampdoria,Italy
Barcelona,Spain
Real Madrid,Spain
Atlético Madrid,Spain
Real Sociedad,Spain
Villarreal,Spain
Real Betis,Spain
Osasuna,Spain
Athletic Bilbao,Spain
Mallorca,Spain
Girona,Spain
Rayo Vallecano,Spain
Sevilla,Spain
Celta Vigo,Spain
Cádiz,Spain
Getafe,Spain
Valencia,Spain
Almería,Spain
Valladolid,Spain
Espanyol,Spain
Elche,Spain
